Review,Date,page_number
premium sound quality well balanced anc work fine comfortable bud not fall running fast charging battery everything perfect,14 July 2025,1
not bad product insult customer used local roadside rupee earbuds sound time better garbage volume laughably low even max sound like bar out constant irritating airflow humming noise overpowers actual audio music forget hear cheap buzzing static like some broken radio feel like rip sold disguise earbuds build sound everything scream sub standard third class quality make thing worse no return option clearly seller know no one would keep junk after using once product pure scam waste money honestly even allowed sold online reading favor run away product without second thought not regret buying angry ever trusted,24 July 2025,1
improve bassnot big sound effectanc not good expected,5 May 2025,1
well good love product worth moneyand noise cancelation function working good,19 July 2025,1
first ear bud not cover first shock receive product mean not easy carry fear losing bud though magnet powerful but little hard push may come out taking out bud case task one may feel victory actually come out successfully not user friendly jbl need think fitness bud in ear not great but not poor well sound quality music average quality not jbl standard using jbl tune bt jbl cinema sb well product not standard in term quality touch sensor control wokring perfect battery perfromance ok call quality ok regular use mics work anc need more powerful pairing more device challengin some time take time connect more one device,18 June 2025,1
nice product value money spent,5 August 2025,1
jbl wave bud disappointing product not come protective cap not suitable making call overpriced call quality poor no return option available visited jbl service center reported call volume low hard hear anything in traffic person end also struggle hear voice clearly shockingly service center staff said call feature work like default overall waste money strongly advise not buy product,21 June 2025,1
audio quality good better boat boat earbuds base mid not clear in but in jbl balanced after costomising sound became goated per price segment design great wider functionality good charging speed good battry life comfi in wearnig long hour recommended product,20 May 2025,1
good bass volume less compared older akg sound,12 August 2025,1
list down pro con but before story explain yo buy earbuds in december first bought jbl c definitely best choice headphone budget lasted year little more th april in trouser pocket unknowingly spun in washing machine damaged hardware because lack water resistance therefore buy jbl wave bud tbh build not good c jbl c perfect snug fit would completely get ear silicone tip actually good quality maybe sound bass not good wave bud overall wave bud take trophy come sound quality but performance embarrassing in anc pure nonsense jbl c not anc yet snug fit filtered sound but anc nonsense in wave bud pathetic in conclusion good sound quality zero compromise in bass bad fitting build hope justifies star,19 May 2025,1
after week proper use design good sound quality good medium audio purpose nice bass crisp sound quality but one drawback connection quality u shift song calling always glitch sound quality call u buying listen song medium purpose best value money,2 July 2025,2
awesome sound quality problem removing headset case case also open make security headset issue,16 July 2025,2
using oneplus z anc jbl tune usbc earphone past year say wave bud better z but worse tune still clarity expected jbl but sound lack flavour vocal included good enough audiobooks podcasts youtube but song seem lacking bud comfortable though not sit deep in ear still stay walking practically forgot no stem help not get accidentally knocked out anc make almost no difference passive noise isolation in ear bud talkthru mode brilliant in amplifying voice ambient transparent mode mic not great but neckband earphone v tws problem battery life including case definitely more hr bud definitely more hr jbl app make lot difference in customising earphone keep multiple user custom equaliser setting audio balance etc no lid case but magnet strong not strong enough hold case fall though dropped case abt ft bed bud popped out might better buy silicon cover lid,29 April 2025,2
audio vera low used in idle state please not go,11 July 2025,2
medium could not loaded,16 June 2025,2
not fall brand name because jbl bass not basic sound quality mean understand mm driver but still might think plus point after jbl brand but no buying earbuds jbl name not buy basic sound quality giving price range go brand price range,26 July 2025,2
medium could not loaded anc not up mark but good compared brand sound quality nice design unique topless battery life equally mentioned light weighted earbudsi not satisfy functionality bcs chose earbuds volume control playback control mode change control but in volume control playback control mode control not modify change like tap stop song tap need change next song tap hold volume up downhere basically fix like tap u play pause tap change next song tap change previous song not change tap setting like tap want change next song tap want change previous song tap want play pause,16 January 2025,2
good one would great cap,26 May 2025,2
sound soft but clearbass not goodbattery backup averagefeatures awesomequality good,14 May 2025,2
anc not greatnot protective case design no cap top layer touch hard shape budshard set gesture give setting user not change like comfortable but not much,15 July 2025,2
good sound,4 May 2025,3
surely poorly designed jbl product no lid earpod magnet appears strong but earpod keep detaching case also earpod performance okay ordered two piece got delivered two day back found no lid case called up helpline same day delivery first person assured return pick up in four day no update app return pick up called up time amazon response nothing done picture showed no lid earpod case advise consider something else also thinking moving out amazon,18 July 2025,3
look way uglier in real life photo definitely enhanced also way big not fit girl bought sister but fit in ear stuck pink headphone,30 June 2025,3
poor sound quality poor fitting ear least low battery backup worst taking call not recommended price point,11 July 2025,3
totally love feel product performance happy front purchase but really concerned no cover shut case ear piece inside afraid may fall out pocket after dislodging place despite magnet fear ear piece in use constantly worrying much dust may gather inside case jbl achieve eliminating cover make zero sense trying improve ergonomics zero sense customer peace mind in mind asking full refund because no clear mention simply thought graphic modified show important silly thus not ask refund but future reference hope everyone read great listening device in really silly design,23 May 2024,3
best thing build quality u know jbl quality people looking anc please dont go but exclent product prefer listening music without compromising budget gaming might delay sec but thats fine bgmi player took because needed bud design people wide ear might prefer stick version jbl beam best thing auto connect option android io bettery life almost hr in one strech hr case could go easily hr playing game video mode putting equalizer in vocal make everghhing perfect value money product people looking ease use could get appearance look classy in black battery life great in product get ease,9 June 2024,3
using headphone month sound quality good no anc support ambient aware build quality good battery decent touch control less design look cool but not buy planning spend another after month one earpiece go faulty not charge up,18 May 2025,3
drop ear poor holding,2 April 2025,3
not realise earpod case no cover product working fine,11 April 2025,3
nice,30 July 2025,3
worst sound quality,26 July 2025,4
call mic quality suck volume often time low need reset factory setting often cause device gained sentience disconnect after min two bass non existent in device uncomfortable wear most time no return exchange option not buy product battery life average charging speed okay seriously doubt quality jbl product disappointed get cheated trusted brand,26 July 2025,4
not even last year,21 July 2025,4
poor sound quality jbl disappointed,18 July 2025,4
poor sound qualityno button increase soundso much poor sound no bass not upto mark brand jbl disappointed sound clarity not also good better not buy particular product jbl fit in ear perfectly last returned much dissatisfied,8 August 2025,4
not good one no cover quality average not cost effective,30 June 2025,4
good,8 April 2025,4
lvl price quality sound product disappointed make ke hate recently brought tour one work fine but price range anc not work expected also sound feel low wave bud also uncomfortable wearing more hour design feature worth but price range not expecting,22 July 2025,4
look one budget around not buy thing go product no one compete product around price range every thing good like bud box charging also well not good but ok fast charging support voice every one know jbl excellent in category bass medium one thing bad noise cancellation not good expecting good but literally no noise cancellation overall product good ignore noise cancellation,7 September 2024,4
battery life,15 July 2025,4
not parchedvolume not clear lower,17 June 2025,5
writing review after using month would not suggest earbuds bike rider go long ride because noisy like wind sound irritating in ear not riding bike but also wind blowing sound irritating music lover please not buy give rating ear bud mentioned in description no active noise cancellation please stay away cheap product last but not least no return product cautious before buying product,11 June 2025,5
jbl wave bud disappointing product not come protective cap not suitable making call overpriced call quality poor no return option available visited jbl service center reported call volume low hard hear anything in traffic person end also struggle hear voice clearly shockingly service center staff said call feature work like default overall waste money strongly advise not buy product,18 June 2025,5
sound output low bad buyand accept return ask go service centre exchange no point ordering online go service centre making fool order,5 August 2025,5
good product like good easy use,1 July 2025,5
not up expectation sound quality not good ambience sound put not working properly,3 January 2025,5
pick product v others didnt liked product sound quality good but case doesnt protective cap taking out bud case always fall hand design case small price charging case ruin call quality also pretty much bad lost one earpod case fell down bave cap left one,26 June 2025,5
clear sound balanced base,18 March 2025,5
jbl wave bud disappointing product not come protective cap not suitable making call overpriced call quality poor no return option available visited jbl service center reported call volume low hard hear anything in traffic person end also struggle hear voice clearly shockingly service center staff said call feature work like default overall waste money strongly advise not buy product,13 June 2025,5
bad quality product specially in term handling,6 June 2025,5
worst product left side ear bud not work call amazon refund replace tell call up jbl call jbl tell visit store wait day new ear bud not picking call initiating refund worst service end,10 July 2025,6
excellent,8 July 2025,6
charging poor,10 June 2025,6
bass effect less,2 February 2025,6
please not buy product use product short time creates pain in ear use single ear bird give noise in ear voice quality not good phone oor in laptop please think before buy,16 July 2025,6
review raved but product average case not lid close,26 December 2024,6
good,30 June 2025,6
work advertised,26 June 2025,6
nice audio quality,10 February 2025,6
open without lid made loss one tws please buy another model jbl case model,10 November 2024,6
definitely big upgrade oneplus bud lightweight stay put in ear overall good purchase someone looking cheaper alternative airpods without compromising much sound quality,28 May 2025,7
incoming voice noise coming not good choice please not prefer,1 May 2025,7
want return but replacement option guy pls not order even ever mistake,7 August 2025,7
design not covering lid hence ear pod easily drop out easily drop wet surface water easily get inside weird case not protecting case,19 March 2025,7
expected current generation bluetooth device able connect multiple device time unfortunately one lack casing top bad choice design not recommended,6 October 2024,7
beautiful sound system,17 June 2025,7
audio quality crystal clear good but case lacking lid major disadvantage,25 December 2024,7
good prodect,17 June 2025,7
west money sound not goodreturn also not available soo sad,6 August 2025,7
excellent,17 June 2025,7
pod not connecting device noise cancellation out not satisfied productneed replacement return worest experience in return policy,16 July 2025,8
buy buy product amazon no service sale defective product no service,25 July 2025,8
good buy design little different traditional but good product,27 May 2025,8
call quality poor no comfort call suddenly silent suddenly some noise,26 July 2025,8
medium could not loaded dirtiest worst crap absolute worst dirty experience item jbl also dirty experience amazon because amazon not solve problem,26 July 2025,8
review genuine used fo day like design sound qualitydislikes catch outside noise clear ever call hear perfectly voice creates eco voice sometimes but cant hear outside noise speaking others goodonly problem catch surrounding sound good called person couldnt hear anythingi returning product jbl product used before also superb but in segment not upto mark,15 March 2023,8
worstest earphone planet option called noice cancellation cancel person noice but make surrounding sound veryy loud clear even called noice cancellation feature bloody hell earpods not even penny worth bloody earpods shame jbl company literally cheapest quality higher price,28 May 2025,8
noise cancellation item not cancel noise able hear air talking mono mode not even support noise cancellation option not ideal regular use,5 July 2025,8
product not good sound dropping listening music watching movie,13 October 2024,8
sound quality good but ear bud loose dosent fit proper in ear fails also not single good proper fitting protection case cover available amazon ordered zitel called premium absolutely useless after lot request returned back dosent fit proper also overall bad experience jbl must provide proper case adding extra cost please,23 May 2025,8
not up mark ok ok product,26 October 2024,9
best earbuds experience till date,29 May 2025,9
worst budsworst product sold railway stationsbetter choose some brandtotal waste moneyno noise cancellation in fact producing noise itselfrating,23 June 2025,9
would never recommend anyone not comfortable wear sound really low not worth money,8 July 2025,9
bilkul bekar bakwas paisa barbaad,5 August 2025,9
bad quality sound no proper bass please not purchase,18 July 2025,9
worst headphone price segment no return facility available poor sound quality cant even feel bass disappoint product jbl,27 June 2025,9
product worst one ever seen not even fit in ear trouble in speaker seems like got used one never anyone buy product,13 June 2025,9
rd class product worst earbuds ever used buy regret take second connect sound output percent average earbuds touch sensitivity wise best luck sadly no option zero star,21 May 2025,9
mic not working customer care not replace piece,15 July 2025,9
mic not working customer care not replace piece,15 July 2025,10
country origin misleading wish amazon seller better job showing manufacturing origin,6 July 2025,10
worst product not buy,1 August 2025,10
product worst not suitable call un comfort not fit in ear sound customised no option return overall not worthy in kind,19 June 2025,10
mic quality poor,21 September 2024,10
loose in ear even after changing silicone cover given sound quality good,22 August 2024,10
worst product after day using left bud charging coming down in min,19 June 2025,10
ear bud not fit perfectly in ear keep falling not wear outside reason sound quality good,16 May 2024,10
waste dont buy no return,18 July 2025,10
good product but size little small little uneasy in putting in ear due size earphone good buy,28 May 2024,10
