Review,Date,page_number
using motorola g g gb ram gb few day happy performance display curved poled display bright smooth look premium feel like flagship phone performance everything run smoothly social medium apps multitasking battery easily last full day regular use fast charging bonus design slim lightweight stylish camera good quality photo in daylight front camera decent selfies love clean android experience without unnecessary apps price rupee great value money smartphone would definitely recommend others,11 June 2025,1
thank amazon product camera quality good display quality good fast charging supported feature nice connectivity good,23 July 2025,1
excellent product speed ok battery ok no heating issue super camera quality easy functionality,5 August 2025,1
nice good,30 July 2025,1
great value money phone but would still not suggest buy because faulty charging port manufacturing defect working great in beginning after one month started charging problem like not charging sometimes sometimes turbo charging not working many more soon brought service center soon told motorola phone charging issue directly asked whether g edge told yes show brand new phone same issue warranty bought within month getting replacement charging board free cost but still nobody want brand new purchased phone take service center open up everybody know once phone get opened never going same because service center not use adhesive glue good come factory always gap always chance open up someday,17 April 2025,1
superb phone slim light weight handy grip excellent resolution excellent,15 July 2025,1
come minor issue vibration not working issue ringer sometimes work sometimes not say turbo charger but not charge expected lock screen home screen lag bit irritating issue youtube video screen overlapped glitched need restarted resolved not impressive product would choose iqoo phone p not sure because android update,11 August 2025,1
awesome mobile premium look clean stock android ui moto branding pantone color curve display camera moto gesture everything good except add one face fingureprint scanner not fast neo device but considering price range loot go blindly promise not get premium feel in budget segment,5 August 2025,1
good easy handle functionality wise good touch screen not sensible need top tab more display some time,5 August 2025,1
value moneycamera quality goodbattery backup little lowheating low,2 August 2025,1
mobile company plan inbuilt gallery option voice call record option network usage data speed option also required but not otherwise camera gaming performance good,18 July 2025,2
good mobile,30 July 2025,2
nice mobileall performance good,14 July 2025,2
awesome,15 July 2025,2
nice product,8 July 2025,2
good,10 June 2025,2
super one in price nice touch screen function good,5 August 2025,2
nice full paisa wasoollight weightgood battery backupcamera quality nice,31 July 2025,2
nice everything,27 July 2025,2
decent smart phone,9 June 2025,2
nice,30 June 2025,3
good mobile light weight happy purchase,26 June 2025,3
okk but price many option get good deal like infinix g,15 May 2025,3
good product,26 June 2025,3
everything good,23 June 2025,3
good experience,26 June 2025,3
exilant mobile display,20 June 2025,3
good phone,16 June 2025,3
good performance excellent camera,30 April 2025,3
video call lining display,6 March 2025,3
nice phone thanku moto first time usd happy,7 June 2025,4
phone totally good no doubt in but seller gave u pre activated device used in october setting up phone slot in phone not detecting sim card switched sim check problem in sim card but no issue in slot,20 June 2025,4
good best camera quality value money,2 June 2025,4
recently got hand motorola g must say exceeded expectation every turn camera quality impressive packed ai feature take photo whole new level feel like professional setup right in pocket smooth performance device worth applauding everything flow effortlessly whether multitasking enjoying favorite apps phone incredibly light sleek making perfect carry around day without bulk sound quality rich immersive ideal music lover movie enthusiast alike battery life keep up day giving power need most without constant recharges screen clarity crystal clear vibrant color visual treat motorola g prof premium experience not come premium price tag highly recommend anyone looking reliable feature packed smartphone,28 October 2024,4
wrost phone,26 July 2025,4
excellent touch experience hz refresh rate excellent display,19 January 2025,4
,12 July 2025,4
decent phone proce range,10 May 2025,4
excellent,15 May 2025,4
good smartphone value money look high price smartphone performance good user friendly good looking,1 May 2025,4
battery flop hai,14 June 2025,5
search history not cleard,5 February 2025,5
great phone maybe even better expected great look feature great android phone durability,8 March 2025,5
disgusting productno battery backupconnectivityfunction close automaticallyphone quality worst,9 August 2025,5
called many time amazon regarding phone video quality but no one response,26 July 2025,5
please not buy phone phone completely slack not open apps banking apps amazon app trading apps quite common in phone generally isup working fine beyond phone call msg okay rest useless,26 June 2025,5
after updating android finger print not working anyone know fix issue anyone help,18 July 2025,5
good,10 March 2025,5
veri quick handy delivery,27 February 2025,5
worst phone ever bought mom yr touch not working hang lot technician came amazon asked replacement saying since window returning closed not taking phone back because k held amazon without resolution great amazon team not even responding well complaint call worst experience ever,14 May 2025,5
battery problem,16 April 2025,6
look screen camera good,6 September 2024,6
bad experience phone ko lete hi phone ka ear speaker fata hua nikla,1 July 2025,6
theek thak hai,5 November 2024,6
product good but not buy amazon because amazon not authorised selling partner moto issue come after buying no support provided amazon better buy direct moto site flipkart,25 May 2025,6
phone quality awesome durabile but mentioned mm headphone jack but phone not provide,28 June 2025,6
rd class service authorised service centre defective mobile delivered visit service center st may today th may still issue not solved also customer executive told model problem every moto g buy motorola mobile,19 May 2025,6
nice curved edge great camerano heating,18 January 2025,6
bought day back found shade camera hanging mobile,18 June 2025,6
good product,19 January 2025,6
battery drained veryfast,1 July 2025,7
location camera access not supporting mobile,3 January 2025,7
best mobile value money camara best quality performance excellent,6 October 2024,7
sound quality bad,30 May 2025,7
perfect,10 November 2024,7
consider honest review since iam using month user loved moto mobile even family us generates high heat u even avarage task background mobile get slow heated display yeah price decent battery drain u k k go mobile writing review bcz exchanging moto samsung bcz poor performance hope might help,26 May 2025,7
good product in price range also camera good,6 September 2024,7
bad experience also better back up not good please never buy opinion,21 March 2025,7
mobile fast process battery backup effective camera good picture quality lve mobile,7 August 2025,7
everything good phone but worst part green line coming screen once happens positive point fade away becomes maine negative point,7 August 2025,7
phone getting without switching,16 January 2025,8
yah parcel mere ko chahie aap parcel ko cancel mat kijiye kyunki mere ko achcha laga hai yah phone,17 July 2025,8
bad camera mobile not giving premium look holding in hand poor poor camera,11 November 2024,8
product good but phone not exchange cancelled product please refund moneythank amazone,16 March 2025,8
got phone yesterday th august not supporting jio number number work phone visit service centre replace phone horrible experience,19 August 2024,8
motorola edge g not good warking not good hang phone,9 October 2024,8
please buy phone worst performance hanging continuously,29 October 2024,8
not good,29 November 2024,8
awesome phone in budget must but phone camera up mark battery backup long lasting,15 June 2025,8
pick product v others previously motorola good used tocamera quality camera quality show mp but actually mpcharging speed not fast chargedheating issue go up percent chargingphone quality good,10 July 2025,8
not buy phone internal problem keep coming up sometimes hang sometimes network go down many more,6 July 2025,9
,5 June 2025,9
waste phone issue charge problem speaker problem many people suffering issue phone send back repair,12 June 2025,9
product late price big mobile losser company no useful yor understand,21 March 2025,9
thin light weight easy hold in hand good lookingfast speed crisp clear photosgood cameracharging fastbattery last daycall sound quality good,28 October 2024,9
esim not support network speed test not given camera average battery average k not support fingerprint ok range average thanks,1 December 2024,9
good item,31 July 2025,9
average performance,11 February 2025,9
nice phone thank youu amazonthank motoo,13 March 2025,9
medium could not loaded,3 June 2025,9
good phone fast display rich color cheap highly recommend,6 July 2025,10
nice phone hi love,5 May 2025,10
excellent phone way better model made canada,27 June 2025,10
